step,action9,z1_action9,target_gripper,actual_gripper,gripper_error_rad,ik_source,last_error
0,-1.5722659826278687,-1.572265625,-1.572266,-0.020254,-1.55201162584126,,no_action
1,-1.5722659826278687,-1.572265625,-1.572266,-0.020254,-1.55201162584126,,no_action
2,-1.5722659826278687,-1.572265625,-1.572266,-0.020254,-1.55201162584126,,no_action
3,-1.5722659826278687,-1.572265625,-1.572266,-0.020254,-1.55201162584126,,
4,-1.5722659826278687,-1.572265625,-1.572266,-0.020254,-1.55201162584126,,
5,-1.5712889432907104,-1.5712890625,-1.571289,-0.020254,-1.55103506334126,,
6,-1.5703120231628418,-1.5703125,-1.570312,-0.020254,-1.55005850084126,,
7,-1.5703120231628418,-1.5703125,-1.570312,-0.022898,-1.5474145002663136,hold:soft,
8,-1.5712889432907104,-1.5712890625,-1.571289,-0.022898,-1.5483910627663136,hold:soft,
9,-1.5712889432907104,-1.5712890625,-1.571289,-0.030367,-1.540922062471509,hold:soft,
10,-1.5722659826278687,-1.572265625,-1.572266,-0.030367,-1.541898624971509,hold:soft,
11,-1.5722659826278687,-1.572265625,-1.572266,-0.064398,-1.5078676268458366,hold:soft,
12,-1.5722659826278687,-1.572265625,-1.572266,-0.064398,-1.5078676268458366,soft,
13,-1.5722659826278687,-1.572265625,-1.572266,-0.105308,-1.4669576212763786,hold:soft,
14,-1.5722659826278687,-1.572265625,-1.572266,-0.172219,-1.40004663169384,hold:soft,
15,-1.5722659826278687,-1.572265625,-1.572266,-0.172219,-1.40004663169384,hold:soft,
16,-1.5693360567092896,-1.5693359375,-1.569336,-0.25808,-1.311255931854248,hold:soft,
17,-1.5703120231628418,-1.5703125,-1.570312,-0.25808,-1.312232494354248,hold:soft,
18,-1.567383050918579,-1.5673828125,-1.567383,-0.285143,-1.2822398245334625,soft,
19,-1.566406011581421,-1.56640625,-1.566406,-0.391667,-1.1747392416000366,hold:soft,
20,-1.566406011581421,-1.56640625,-1.566406,-0.397726,-1.1686802506446838,soft,
21,-1.566406011581421,-1.56640625,-1.566406,-0.397726,-1.1686802506446838,soft,
22,-1.567383050918579,-1.5673828125,-1.567383,-0.42968,-1.1377028226852417,hold:local,
23,-1.567383050918579,-1.5673828125,-1.567383,-0.515736,-1.0516468286514282,hold:local,
24,-1.5683590173721313,-1.568359375,-1.568359,-0.584995,-0.9833644032478333,hold:soft,
25,-1.5683590173721313,-1.568359375,-1.568359,-0.589403,-0.978956401348114,soft,soft_ik:p=0.0002;r=2.2;n=10;trajectory_extended:0.1715s
26,-1.5693360567092896,-1.5693359375,-1.569336,-0.589403,-0.979932963848114,soft,
27,-1.5693360567092896,-1.5693359375,-1.569336,-0.589403,-0.979932963848114,soft,
28,-1.5703120231628418,-1.5703125,-1.570312,-0.606807,-0.9635055065155029,soft,soft_ik:p=0.0003;r=3.0;n=10;trajectory_extended:0.3710s
29,-1.5712889432907104,-1.5712890625,-1.571289,-0.66311,-0.9081790447235107,hold:soft,
30,-1.5703120231628418,-1.5703125,-1.570312,-0.675453,-0.8948594927787781,hold:soft,
31,-1.5703120231628418,-1.5703125,-1.570312,-0.728842,-0.84147047996521,hold:global,
32,-1.5693360567092896,-1.5693359375,-1.569336,-0.745172,-0.8241639137268066,hold:global,
33,-1.5703120231628418,-1.5703125,-1.570312,-0.748288,-0.8220245242118835,global,
34,-1.5683590173721313,-1.568359375,-1.568359,-0.751208,-0.8171513676643372,global,
35,-1.5683590173721313,-1.568359375,-1.568359,-0.805771,-0.762588381767273,hold:global,
36,-1.566406011581421,-1.56640625,-1.566406,-0.826892,-0.7395142316818237,hold:global,
37,-1.566406011581421,-1.56640625,-1.566406,-0.882122,-0.6842842698097229,hold:global,
